name,model,acc0,acc1,acc
vwg-0709-0007,model1,0.005764260170661757,,0.005764260170661757
vwg-0709-0007,model2,0.0049504348354923065,0.0,0.0045642641666012495
vwg-0709-0007,model3,0.0,0.0,0.0016596664355910777
vwg-0709-0007,model1,0.0,0.0,0.0008417508417508417
vwg-0709-0007,model2,0.0,0.0006310037560790712,0.0006310037560790712
vwg-0709-0007,model3,,0.0006360068194064526,0.0006360068194064526
vwg-0709-0007,model1,0.0,0.0,0.0
vwg-0709-0007,model2,0.0020204113350256437,0.00046687949641908836,0.003403753859404604
vwg-0709-0007,model3,0.0,0.00038236119107725467,0.0028189057862488477
vwg-0709-0007,model1,,0.0,0.0
vwg-0709-0007,model2,,0.042602198391021875,0.042602198391021875
vwg-0709-0007,model3,,0.10131141158148095,0.10131141158148095
vwg-0709-0007,model1,0.01164920588826591,0.0,0.011514319959626545
vwg-0709-0007,model2,0.011939217034380828,0.005795204209801915,0.019258061125021503
vwg-0709-0007,model3,0.0,0.006490493050304566,0.017438873077326653
vwg-0709-0007,model1,0.08006129174450578,0.0,0.10653848575806553
vwg-0709-0007,model2,0.1017071180583332,0.023792368485580098,0.08431719452127616
vwg-0709-0007,model3,0.0,0.026930475405331136,0.09541380145729673
vwg-0709-0007,model1,0.0,0.0,0.24019393636723058
